id,language,title,cardTitle,writtenTitle,slug,summary,writtenSummary,fullText,newsType,link,videoID,source,trending,editorPick,sendNotification,keywords,imagePath,nitlType,addedBy,addedOn,publisherID,publishedOn,updatedBy,updatedOn,approved,approvedOn,approvedBy,active,isDraft,draftAddedDate,draftAssignedBy,feedback,rating,aiSummaryRating,expiryDate,contentStyleID,contentID,isPremium
27536,2,"Pfizer Covid pills highly effective at preventing deaths, trial shows",Covid-19,"Pfizer Covid pills highly effective at preventing deaths, trial shows",pfizer-covid-pills-highly-effective-at-preventing-deaths-trial-shows,"Pfizer said its experimental antiviral pill for Covid cut rates of hospital admission and death by nearly 90%.
With millions of adults still unvaccinated, effective and easy-to-use treatments will be critical to curbing future waves of infections.
Competitor Merck’s Covid pill is already under review at the FDA after showing strong initial results.","Pfizer said its experimental antiviral pill for Covid cut rates of hospital admission and death by nearly 90%.
With millions of adults still unvaccinated, effective and easy-to-use treatments will be critical to curbing future waves of infections.
Competitor Merck’s Covid pill is already under review at the FDA after showing strong initial results.",,,https://www.theguardian.com/business/2021/nov/05/pfizer-covid-pills-highly-effective-at-preventing-deaths-trial-suggests,,The Guardian,0,1,1,Pfizer Covid pills highly effective at preventing deaths trial shows 90 Pfizer said its experimental antiviral pill for Covid cut rates of hospital admission and death by nearly With millions adults still unvaccinated effective easy to use treatments will be critical curbing future waves infections Competitor Merck s is already under review at the FDA after showing strong initial results ,97cbbda0-3e3a-11ec-9fa5-7372feaeb4f5,2,27,2021-11-05 13:16:31,,2021-11-06 11:40:33,42,2021-11-06 11:40:33,1,2021-11-06 11:40:33,42,1,0,,,well written,5,,,3,,0
27537,2,Bank of England sorry for rising cost of living,"",Bank of England sorry for rising cost of living,bank-of-england-sorry-for-rising-cost-of-living,"The Bank of England governor said he is ""very sorry"" that UK inflation is rising amid forecasts the cost of living could rise 5%.
Bailey said inflation was ""something that bites on people's household income.""
The Bank will see what impact both domestic and global issues were having on the cost of living before deciding to raise rates.","The Bank of England governor has said he is ""very sorry"" that UK inflation is rising amid forecasts the cost of living could rise 5%.
Mr Bailey said inflation was ""something that bites on people's household income.""
The Bank will see what impact both domestic and global issues were having on the cost of living before deciding to raise rates.",,,https://www.bbc.co.uk/news/business-59173293,,BBC,0,0,0,"Bank of England sorry for rising cost living 5 The Bank of England governor has said he is very sorry that UK inflation rising amid forecasts the cost living could rise Mr Bailey was something bites on people s household income will see what impact both domestic and global issues were having before deciding to raise rates  """,b6090400-3e51-11ec-9fa5-7372feaeb4f5,1,129,2021-11-05 16:02:00,,2021-11-06 11:31:08,42,2021-11-06 11:31:08,1,2021-11-06 11:31:08,42,1,0,,,minor edits,4,,,3,,0
27538,2,UK: MPs call for inquiry over Boris Johnson's Spanish holiday,"",MPs call for inquiry over Boris Johnson's Spanish holiday,mps-call-for-inquiry-over-boris-johnsons-spanish-holiday,"The PM has been criticised for taking free holidays from a friend who is a minister.
The PM declared the trip on the Register of Ministers' Interests, saying he had ""a longstanding personal friendship"" with the family.
But opposition parties say he should publish details on the Register of Members' Interests covering all MPs.","The PM has been criticised for taking free holidays from a friend who is a minister.
The PM declared the trip on the Register of Ministers' Interests, saying he had ""a longstanding personal friendship"" with the family.
But opposition parties say he should publish details on the Register of Members' Interests covering all MPs.",,,https://www.bbc.co.uk/news/uk-politics-59177409,,BBC,0,0,1,MPs call for inquiry over Boris Johnson s Spanish holiday The PM has been criticised for taking free holidays from a friend who is minister declared the trip on Register of Ministers Interests saying he had longstanding personal friendship with family But opposition parties say should publish details Members covering all MPs ,f4180ce0-3e52-11ec-9fa5-7372feaeb4f5,1,129,2021-11-05 16:10:54,,2021-11-06 11:29:38,42,2021-11-06 11:29:38,1,2021-11-06 11:29:38,42,1,0,,,minor edits,4,,,3,,0
27539,2,Fact-check: Banana has been chemically ripened if it is brown spotted with a green stalk,,,fact-check-undefined,,,,,https://nitl.app/fact/214,,,0,0,0, Facebook Australian Banana Growers Council says the chemical ripening process is essentially same as natural just in a more controlled environment and that both were triggered by hormone ethylene gas Bananas emit ethylene gas a natural plant hormone that accelerates ripening A banana with black stalk could experience pathological disorder called crown rot Brown spots on a banana peel could also indicate the is experiencing disease called senescent Experts say bananas that go through chemical ripening and those which ripen naturally do not show any visible differences,5a2101636132569633,3,32,2021-11-05 16:56:36,,2021-11-07 12:58:53,8,2021-11-07 12:58:53,1,2021-11-07 12:58:53,8,1,0,,,,,,,6,214,0
27540,2,360: Elon Musk: I'll commit $6bn to end world hunger if UN is transparent,,,360-Elon-Musk-Ill-commit-dollar6bn-to-end-world-hunger-if-UN-is-transparent,,,,,https://nitl.app/360?id=120,,,0,0,0,,de57a1636268875885,3,127,2021-11-05 17:07:28,,2021-11-07 12:38:19,8,2021-11-07 12:38:19,1,2021-11-07 12:38:19,8,1,0,,,,,,,5,120,0
27541,2,"Greta Thunberg slams COP26 as a ""failure"" at youth protest",COP26,Greta Thunberg slams COP26 as a 'failure' at youth protest,greta-thunberg-slams-cop26-as-a-failure-at-youth-protest,"""We don't need any more distant, non-binding pledges. We don't need anymore empty promises,"" Greta said during a massive youth protest in Glasgow.
Greta assures that the COP is a failure.
New long-term promises include a deforestation commitment, a deal on coal, and a plan to stop investing public finances in foreign fossil fuel.","""We don't need any more distant, non-binding pledges. We don't need anymore empty promises,"" Greta said during a massive youth protest in Glasgow. 
Greta assures that the COP is a failure.
New long-term promises include a deforestation commitment, a deal on coal, and a plan to stop investing public finances in foreign fossil fuel.",,,https://edition.cnn.com/2021/11/05/europe/cop26-youth-protests-friday-intl/index.html,,CNN,0,1,1,Greta Thunberg slams COP26 as a failure at youth protest We don t need any more distant non binding pledges anymore empty promises Greta said during a massive youth protest in Glasgow assures that the COP is failure New long term include deforestation commitment deal on coal and plan to stop investing public finances foreign fossil fuel ,a1155980-3e66-11ec-9fa5-7372feaeb4f5,2,127,2021-11-05 18:31:45,,2021-11-06 11:11:47,42,2021-11-06 11:11:47,1,2021-11-06 11:11:47,42,1,0,,,minor edits,4,,,3,,0
27542,2,Brexit & Northern Ireland: EU warns of serious consequences,"",Brexit & Northern Ireland: EU warns of ‘serious consequences,brexit-northern-ireland-eu-warns-of-serious-consequences,"Britain and the EU appear on the brink of a trade war.
Brussels accused PM Johnson of lacking sincerity in negotiations over Northern Ireland’s future.
“Serious for Northern Ireland, as it would lead to instability and unpredictability, and serious also for the EU-UK relations in general,” Šefčovič said.","Britain and the EU appear on the brink of a trade war. 
Brussels accused PM Johnson of lacking sincerity in negotiations over Northern Ireland’s future.
“Serious for Northern Ireland, as it would lead to instability and unpredictability, and serious also for the EU-UK relations in general,” Šefčovič said.",,,https://www.theguardian.com/politics/2021/nov/05/article-16-very-much-on-the-table-in-brexit-row-david-frost,,The Guardian,0,0,1,"Brexit Northern Ireland EU warns of serious consequences & ‘ Britain and the EU appear on brink of a trade war Brussels accused PM Johnson lacking sincerity in negotiations over Northern Ireland s future Serious for as it would lead to instability unpredictability serious also UK relations general ef ovi said  “ ,” Š č",91826c00-3e67-11ec-9fa5-7372feaeb4f5,1,127,2021-11-05 18:38:28,,2021-11-06 11:25:25,42,2021-11-06 11:25:25,1,2021-11-06 11:25:25,42,1,0,,,well written,5,,,3,,0
27543,2,Forests can't handle all the COP26 net-zero emissions plans,COP26,Forests can't handle all the COP26 net-zero emissions plans,forests-cant-handle-all-the-cop26-net-zero-emissions-plans,"Net-zero emissions pledges to protect the climate are coming fast from companies, cities and countries.
Declaring a net-zero target doesn’t mean they plan to stop their greenhouse gas emissions entirely.
Most of these pledges rely heavily on planting trees or protecting forests or farmland to absorb some of their emissions.","Net-zero emissions pledges to protect the climate are coming fast and furious from companies, cities and countries
Declaring a net-zero target doesn’t mean they plan to stop their greenhouse gas emissions entirely.
Most of these pledges rely heavily on planting trees or protecting forests or farmland to absorb some of their emissions.",,,https://theconversation.com/forests-cant-handle-all-the-net-zero-emissions-plans-companies-and-countries-expect-nature-to-offset-too-much-carbon-170336,,The Conversation,0,1,0,Forests can t handle all the COP26 net zero emissions plans Net zero emissions pledges to protect the climate are coming fast and furious from companies cities countries Declaring a net target doesn t mean they plan stop their greenhouse gas entirely Most of these rely heavily on planting trees or protecting forests farmland absorb some ,9c962810-3e68-11ec-9fa5-7372feaeb4f5,2,127,2021-11-05 18:45:56,,2021-11-06 11:10:05,42,2021-11-06 11:10:05,1,2021-11-06 11:10:05,42,1,0,,,minor edits,4,,,3,,0
27544,2,US Muslims gave more to charity than other Americans in 2020,NITL Pick,US Muslims gave more to charity than other Americans in 2020,us-muslims-gave-more-to-charity-than-other-americans-in-2020,"A study shows that Muslim Americans gave more to charity in 2020 than non-Muslims; they are also more likely to volunteer.
Donations to alleviate the toll Covid-19 has taken on U.S. health, employment and food security comprised 8.8% of Muslim American faith-based giving, versus 5.3% for non-Muslims.
Religion practices were linked to charity works.","A study shows that Muslim Americans gave more to charity in 2020 than non-Muslims. They are also more likely to volunteer.
Donations to alleviate the toll COVID-19 has taken on U.S. health, employment and food security comprised 8.8% of Muslim American faith-based giving, versus 5.3% for non-Muslims.
Religion practices were linked to charity works. ",,,https://theconversation.com/us-muslims-gave-more-to-charity-than-other-americans-in-2020-170689,,The Conversation,0,1,1,2020 US Muslims gave more to charity than other Americans in 3 5 8 19 2020 A study shows that Muslim Americans gave more to charity in than non Muslims They are also likely volunteer Donations alleviate the toll COVID has taken on U S health employment and food security comprised of American faith based giving versus for Religion practices were linked works ,ba91b710-3e6a-11ec-9fa5-7372feaeb4f5,2,127,2021-11-05 19:01:05,,2021-11-06 11:05:44,42,2021-11-06 11:05:44,1,2021-11-06 11:05:44,42,1,0,,,minor edits,4,,,3,,0
27545,2,"Police issue alert: ATM scam, Britons see more money cleverly stolen","","Police issue alert: ATM scam, Britons see more money cleverly stolen",police-issue-alert-atm-scam-britons-see-more-money-cleverly-stolen,"Police are warning people to be vigilant as fraudsters are fitting devices to cash machines to steal money from unsuspecting customers.
The scam has been highlighted by the Metropolitan Police on Twitter after a series of attacks in south London.
The Metropolitan Police advised: “Fraudsters sometimes fit devices to ATMs trapping cards or cash”.","Police are warning people to be vigilant as fraudsters are fitting devices to cash machines to steal money from unsuspecting customers.
The scam has been highlighted by the Metropolitan Police on Twitter after a series of attacks in south London.
The Metropolitan Police advised: “Fraudsters sometimes fit devices to ATMs trapping cards or cash”.",,,https://www.express.co.uk/finance/personalfinance/1517166/cash-machine-scam-warning-police-issue-alert,,Express UK,0,0,1,Police issue alert ATM scam Britons see more money cleverly stolen Police are warning people to be vigilant as fraudsters fitting devices cash machines steal money from unsuspecting customers The scam has been highlighted by the Metropolitan on Twitter after a series of attacks in south London advised Fraudsters sometimes fit ATMs trapping cards or ,c7222810-3e6b-11ec-9fa5-7372feaeb4f5,1,127,2021-11-05 19:08:36,,2021-11-06 10:44:33,42,2021-11-06 10:44:33,1,2021-11-06 10:44:33,42,1,0,,,well written,5,,,3,,0
